lag,feature_set,r2,rmse,mae,n_train,n_test
16,E: current + prev fwns estimate,0.9606310725212097,0.011287459087185467,0.006722709164023399,7258898,8302732
16,F: current + prev features + prev fwns estimate,0.9669947624206543,0.01033500829958127,0.0063409823924303055,7258898,8302732
17,E: current + prev fwns estimate,0.9576612710952759,0.011988654055855136,0.00732334703207016,5019303,5364687
17,F: current + prev features + prev fwns estimate,0.9633163809776306,0.011159311851981702,0.006979532539844513,5019303,5364687
18,E: current + prev fwns estimate,0.9563801288604736,0.012466386307038637,0.007856752723455429,3040909,3228604
18,F: current + prev features + prev fwns estimate,0.9624071717262268,0.011573135794948114,0.00744760874658823,3040909,3228604
19,E: current + prev fwns estimate,0.9585042595863342,0.0129162528670094,0.008494089357554913,1597086,1738467
19,F: current + prev features + prev fwns estimate,0.9625405073165894,0.012272017468995325,0.008181055076420307,1597086,1738467
20,E: current + prev fwns estimate,0.9567179083824158,0.012923127460244335,0.008379658684134483,1908286,2136205
20,F: current + prev features + prev fwns estimate,0.9618680477142334,0.012129922155667019,0.00799209251999855,1908286,2136205
21,E: current + prev fwns estimate,0.9568232297897339,0.012126865008836285,0.007340763229876757,4226575,4857936
21,F: current + prev features + prev fwns estimate,0.9626485705375671,0.01127917286569371,0.007013674359768629,4226575,4857936
22,E: current + prev fwns estimate,0.9594401121139526,0.011609139148883845,0.007040401455014944,6102675,6789591
22,F: current + prev features + prev fwns estimate,0.9633260369300842,0.011039017454362188,0.006839626934379339,6102675,6789591
23,E: current + prev fwns estimate,0.9573367238044739,0.011961755650066455,0.007189512252807617,4898830,5326595
23,F: current + prev features + prev fwns estimate,0.9632890224456787,0.01109597931922527,0.0068569001741707325,4898830,5326595
24,E: current + prev fwns estimate,0.9580670595169067,0.012819842829097795,0.008300060406327248,1910206,2065678
24,F: current + prev features + prev fwns estimate,0.9618959426879883,0.012220550441885551,0.008040308021008968,1910206,2065678
25,E: current + prev fwns estimate,0.9579408764839172,0.013112985090724399,0.008532276377081871,1485672,1666670
25,F: current + prev features + prev fwns estimate,0.9613638520240784,0.012568064197476747,0.008309150114655495,1485672,1666670
26,E: current + prev fwns estimate,0.9548730254173279,0.012891772654409236,0.008069725707173347,2484420,2853581
26,F: current + prev features + prev fwns estimate,0.9602006077766418,0.012106893606287188,0.007732035126537085,2484420,2853581
27,E: current + prev fwns estimate,0.9583011269569397,0.011754264635875247,0.0070446571335196495,5623171,6454741
27,F: current + prev features + prev fwns estimate,0.9632192254066467,0.011039351949036295,0.0067705861292779446,5623171,6454741
28,E: current + prev fwns estimate,0.9584324359893799,0.011831959255123205,0.007066304795444012,5553694,5976105
28,F: current + prev features + prev fwns estimate,0.9632159471511841,0.011130355785582755,0.006799599621444941,5553694,5976105
29,E: current + prev fwns estimate,0.9561036825180054,0.012674481927054174,0.007951815612614155,2661615,2814256
29,F: current + prev features + prev fwns estimate,0.9602078199386597,0.012067434698345085,0.007709254510700703,2661615,2814256
30,E: current + prev fwns estimate,0.9576047658920288,0.01315148348359239,0.008543499745428562,1472835,1589211
30,F: current + prev features + prev fwns estimate,0.9604694843292236,0.012699378719571944,0.00835768785327673,1472835,1589211
