lag,feature_set,r2,rmse,mae,n_train,n_test
7,A: current only,0.947925865650177,0.013593887668904547,0.008221801370382309,3219736,3536961
7,B: current + prev features,0.9458519816398621,0.013861933299609159,0.008490070700645447,3219736,3536961
7,C: current + prev fwns,0.9624401330947876,0.011545021040891796,0.007388570345938206,3219736,3536961
7,D: current + prev features + prev fwns,0.9712979793548584,0.01009226592190018,0.006655114237219095,3219736,3536961
8,A: current only,0.9515144228935242,0.013895159807866792,0.008878246881067753,1704981,1869819
8,B: current + prev features,0.948865532875061,0.014269677073217617,0.00918054860085249,1704981,1869819
8,C: current + prev fwns,0.9625099301338196,0.012218429489121165,0.00819022674113512,1704981,1869819
8,D: current + prev features + prev fwns,0.9699549078941345,0.010938154340972409,0.007492552511394024,1704981,1869819
9,A: current only,0.9511876106262207,0.013652927816978678,0.008622236549854279,2104363,2325449
9,B: current + prev features,0.9472904801368713,0.014187477120922458,0.009024099446833134,2104363,2325449
9,C: current + prev fwns,0.9620448350906372,0.01203915556117287,0.007983652874827385,2104363,2325449
9,D: current + prev features + prev fwns,0.9701194167137146,0.010682066129016192,0.007235522847622633,2104363,2325449
10,A: current only,0.9494421482086182,0.013264318961469502,0.007899980060756207,4004366,4447526
10,B: current + prev features,0.9479407072067261,0.013459837532494873,0.008131613954901695,4004366,4447526
10,C: current + prev fwns,0.9610257148742676,0.011646086450512311,0.0072904592379927635,4004366,4447526
10,D: current + prev features + prev fwns,0.9682846069335938,0.010505720940455456,0.00674612307921052,4004366,4447526
11,A: current only,0.953851580619812,0.012292423787975989,0.0071150558069348335,7856304,8823012
11,B: current + prev features,0.9527965188026428,0.012432147550061374,0.0073150331154465675,7856304,8823012
11,C: current + prev fwns,0.9647372961044312,0.010745258393578039,0.00652889721095562,7856304,8823012
11,D: current + prev features + prev fwns,0.9715688228607178,0.009648425571220955,0.0060328408144414425,7856304,8823012
12,A: current only,0.9502497315406799,0.013088356958024704,0.0077110351994633675,4418069,4783651
12,B: current + prev features,0.9489994049072266,0.013251801495538467,0.007930922321975231,4418069,4783651
12,C: current + prev fwns,0.9607523679733276,0.01162503064612033,0.007172015029937029,4418069,4783651
12,D: current + prev features + prev fwns,0.9685060977935791,0.01041359533290893,0.006616964004933834,4418069,4783651
13,A: current only,0.9531556963920593,0.013423302851188834,0.00852978229522705,2066030,2225369
13,B: current + prev features,0.9506072998046875,0.01378359237308838,0.008834902197122574,2066030,2225369
13,C: current + prev fwns,0.9613617062568665,0.012191020479274338,0.008063034154474735,2066030,2225369
13,D: current + prev features + prev fwns,0.9672291874885559,0.011227285929249545,0.007554077077656984,2066030,2225369
14,A: current only,0.9528704881668091,0.013669536382047182,0.008764215745031834,1636459,1812251
14,B: current + prev features,0.9492312073707581,0.014187495583282006,0.009196369908750057,1636459,1812251
14,C: current + prev fwns,0.9605647921562195,0.012504013216361983,0.008309176191687584,1636459,1812251
