lag,feature_set,r2,rmse,mae,n_train,n_test
11,A: current only,0.953851580619812,0.0122924237879759,0.0071150558069348,7856304,8823012
11,E: current + prev fwns estimate,0.9619219899177551,0.011165963608425596,0.00671487208455801,7856304,8823012
11,F: current + prev features + prev fwns estimate,0.967843770980835,0.010261048160020781,0.006346611771732569,7856304,8823012
12,A: current only,0.95024973154068,0.0130883569580247,0.0077110351994633,4418069,4783651
12,E: current + prev fwns estimate,0.9580484628677368,0.012018804742496702,0.007337882183492184,4418069,4783651
12,F: current + prev features + prev fwns estimate,0.9654750823974609,0.010903186916862682,0.006863734684884548,4418069,4783651
13,A: current only,0.9531556963920592,0.0134233028511888,0.008529782295227,2066030,2225369
13,E: current + prev fwns estimate,0.9592455625534058,0.012520408268619028,0.008208539336919785,2066030,2225369
13,F: current + prev features + prev fwns estimate,0.9645965695381165,0.011669545511736738,0.007781247142702341,2066030,2225369
14,A: current only,0.9528704881668092,0.0136695363820471,0.0087642157450318,1636459,1812251
14,E: current + prev fwns estimate,0.9583836197853088,0.012845156868254113,0.008470097556710243,1636459,1812251
14,F: current + prev features + prev fwns estimate,0.9637578129768372,0.011987106958689184,0.008070938289165497,1636459,1812251
15,A: current only,0.9498440027236938,0.0135414203916944,0.0083195501938462,2709294,3045169
15,E: current + prev fwns estimate,0.9569950103759766,0.012538981285159007,0.007948778569698334,2709294,3045169
15,F: current + prev features + prev fwns estimate,0.9628962278366089,0.011646947331897363,0.007551552727818489,2709294,3045169
16,A: current only,0.952644109725952,0.0123795936620968,0.0071182805113494,7258898,8302732
16,E: current + prev fwns estimate,0.9606310725212097,0.011287459087185467,0.006722709164023399,7258898,8302732
16,F: current + prev features + prev fwns estimate,0.9669947624206543,0.01033500829958127,0.0063409823924303055,7258898,8302732
17,A: current only,0.9514073133468628,0.0128436002081584,0.0076063713058829,5019303,5364687
17,E: current + prev fwns estimate,0.9576612710952759,0.011988654055855136,0.00732334703207016,5019303,5364687
17,F: current + prev features + prev fwns estimate,0.9633163809776306,0.011159311851981702,0.006979532539844513,5019303,5364687
18,A: current only,0.9495763778686525,0.0134034153321724,0.0081416899338364,3040909,3228604
18,E: current + prev fwns estimate,0.9563801288604736,0.012466386307038637,0.007856752723455429,3040909,3228604
18,F: current + prev features + prev fwns estimate,0.9624071717262268,0.011573135794948114,0.00744760874658823,3040909,3228604
19,A: current only,0.9551538825035096,0.0134275642297542,0.0086141508072614,1597086,1738467
19,E: current + prev fwns estimate,0.9585042595863342,0.0129162528670094,0.008494089357554913,1597086,1738467
19,F: current + prev features + prev fwns estimate,0.9625405073165894,0.012272017468995325,0.008181055076420307,1597086,1738467
20,A: current only,0.953827738761902,0.0133476273677592,0.0084695005789399,1908286,2136205
20,E: current + prev fwns estimate,0.9567179083824158,0.012923127460244335,0.008379658684134483,1908286,2136205
20,F: current + prev features + prev fwns estimate,0.9618680477142334,0.012129922155667019,0.00799209251999855,1908286,2136205
21,A: current only,0.9499992728233336,0.0130500330696969,0.0076456074602901,4226575,4857936
21,E: current + prev fwns estimate,0.9568232297897339,0.012126865008836285,0.007340763229876757,4226575,4857936
21,F: current + prev features + prev fwns estimate,0.9626485705375671,0.01127917286569371,0.007013674359768629,4226575,4857936
22,A: current only,0.9535843133926392,0.0124189225660306,0.0072915274649858,6102675,6789591
22,E: current + prev fwns estimate,0.9594401121139526,0.011609139148883845,0.007040401455014944,6102675,6789591
